ano,unidade,mes,mes_num,secao,indicador,valor,data
2025,gerencial,JAN,1,Dados Gerenciais de Efetividade,Adolescentes Inseridos Em Cursos Profissionalizantes,1.0,2025-01-01
2025,gerencial,FEV,2,Dados Gerenciais de Efetividade,Adolescentes Inseridos Em Cursos Profissionalizantes,6.0,2025-02-01
2025,gerencial,MAR,3,Dados Gerenciais de Efetividade,Adolescentes Inseridos Em Cursos Profissionalizantes,6.0,2025-03-01
2025,gerencial,ABR,4,Dados Gerenciais de Efetividade,Adolescentes Inseridos Em Cursos Profissionalizantes,6.0,2025-04-01
2025,gerencial,MAI,5,Dados Gerenciais de Efetividade,Adolescentes Inseridos Em Cursos Profissionalizantes,5.0,2025-05-01
2025,gerencial,JUN,6,Dados Gerenciais de Efetividade,Adolescentes Inseridos Em Cursos Profissionalizantes,5.0,2025-06-01
2025,gerencial,JUL,7,Dados Gerenciais de Efetividade,Adolescentes Inseridos Em Cursos Profissionalizantes,4.0,2025-07-01
2025,gerencial,AGO,8,Dados Gerenciais de Efetividade,Adolescentes Inseridos Em Cursos Profissionalizantes,4.0,2025-08-01
2025,gerencial,SET,9,Dados Gerenciais de Efetividade,Adolescentes Inseridos Em Cursos Profissionalizantes,4.0,2025-09-01
2025,gerencial,OUT,10,Dados Gerenciais de Efetividade,Adolescentes Inseridos Em Cursos Profissionalizantes,2.0,2025-10-01
2025,gerencial,NOV,11,Dados Gerenciais de Efetividade,Adolescentes Inseridos Em Cursos Profissionalizantes,2.0,2025-11-01
2025,gerencial,DEZ,12,Dados Gerenciais de Efetividade,Adolescentes Inseridos Em Cursos Profissionalizantes,,2025-12-01
2025,gerencial,JAN,1,Dados Gerenciais de Efetividade,Adolescentes Inseridos No Mercado De Trabalho,0.0,2025-01-01
2025,gerencial,FEV,2,Dados Gerenciais de Efetividade,Adolescentes Inseridos No Mercado De Trabalho,0.0,2025-02-01
2025,gerencial,MAR,3,Dados Gerenciais de Efetividade,Adolescentes Inseridos No Mercado De Trabalho,0.0,2025-03-01
2025,gerencial,ABR,4,Dados Gerenciais de Efetividade,Adolescentes Inseridos No Mercado De Trabalho,0.0,2025-04-01
2025,gerencial,MAI,5,Dados Gerenciais de Efetividade,Adolescentes Inseridos No Mercado De Trabalho,0.0,2025-05-01
2025,gerencial,JUN,6,Dados Gerenciais de Efetividade,Adolescentes Inseridos No Mercado De Trabalho,0.0,2025-06-01
2025,gerencial,JUL,7,Dados Gerenciais de Efetividade,Adolescentes Inseridos No Mercado De Trabalho,0.0,2025-07-01
2025,gerencial,AGO,8,Dados Gerenciais de Efetividade,Adolescentes Inseridos No Mercado De Trabalho,0.0,2025-08-01
2025,gerencial,SET,9,Dados Gerenciais de Efetividade,Adolescentes Inseridos No Mercado De Trabalho,0.0,2025-09-01
2025,gerencial,OUT,10,Dados Gerenciais de Efetividade,Adolescentes Inseridos No Mercado De Trabalho,0.0,2025-10-01
2025,gerencial,NOV,11,Dados Gerenciais de Efetividade,Adolescentes Inseridos No Mercado De Trabalho,0.0,2025-11-01
2025,gerencial,DEZ,12,Dados Gerenciais de Efetividade,Adolescentes Inseridos No Mercado De Trabalho,,2025-12-01
2025,gerencial,JAN,1,Dados Gerenciais de Efetividade,Apadrinhamentos Afetivos Efetivados,3.0,2025-01-01
2025,gerencial,FEV,2,Dados Gerenciais de Efetividade,Apadrinhamentos Afetivos Efetivados,3.0,2025-02-01
2025,gerencial,MAR,3,Dados Gerenciais de Efetividade,Apadrinhamentos Afetivos Efetivados,3.0,2025-03-01
2025,gerencial,ABR,4,Dados Gerenciais de Efetividade,Apadrinhamentos Afetivos Efetivados,3.0,2025-04-01
2025,gerencial,MAI,5,Dados Gerenciais de Efetividade,Apadrinhamentos Afetivos Efetivados,3.0,2025-05-01
2025,gerencial,JUN,6,Dados Gerenciais de Efetividade,Apadrinhamentos Afetivos Efetivados,3.0,2025-06-01
2025,gerencial,JUL,7,Dados Gerenciais de Efetividade,Apadrinhamentos Afetivos Efetivados,2.0,2025-07-01
2025,gerencial,AGO,8,Dados Gerenciais de Efetividade,Apadrinhamentos Afetivos Efetivados,2.0,2025-08-01
2025,gerencial,SET,9,Dados Gerenciais de Efetividade,Apadrinhamentos Afetivos Efetivados,2.0,2025-09-01
2025,gerencial,OUT,10,Dados Gerenciais de Efetividade,Apadrinhamentos Afetivos Efetivados,1.0,2025-10-01
2025,gerencial,NOV,11,Dados Gerenciais de Efetividade,Apadrinhamentos Afetivos Efetivados,1.0,2025-11-01
2025,gerencial,DEZ,12,Dados Gerenciais de Efetividade,Apadrinhamentos Afetivos Efetivados,,2025-12-01
2025,gerencial,JAN,1,Dados Gerenciais de Efetividade,Atividades Lúdicas/Recreativas/Culturais,4.0,2025-01-01
2025,gerencial,FEV,2,Dados Gerenciais de Efetividade,Atividades Lúdicas/Recreativas/Culturais,3.0,2025-02-01
2025,gerencial,MAR,3,Dados Gerenciais de Efetividade,Atividades Lúdicas/Recreativas/Culturais,3.0,2025-03-01
2025,gerencial,ABR,4,Dados Gerenciais de Efetividade,Atividades Lúdicas/Recreativas/Culturais,3.0,2025-04-01
2025,gerencial,MAI,5,Dados Gerenciais de Efetividade,Atividades Lúdicas/Recreativas/Culturais,4.0,2025-05-01
2025,gerencial,JUN,6,Dados Gerenciais de Efetividade,Atividades Lúdicas/Recreativas/Culturais,6.0,2025-06-01
2025,gerencial,JUL,7,Dados Gerenciais de Efetividade,Atividades Lúdicas/Recreativas/Culturais,6.0,2025-07-01
2025,gerencial,AGO,8,Dados Gerenciais de Efetividade,Atividades Lúdicas/Recreativas/Culturais,2.0,2025-08-01
2025,gerencial,SET,9,Dados Gerenciais de Efetividade,Atividades Lúdicas/Recreativas/Culturais,5.0,2025-09-01
2025,gerencial,OUT,10,Dados Gerenciais de Efetividade,Atividades Lúdicas/Recreativas/Culturais,7.0,2025-10-01
2025,gerencial,NOV,11,Dados Gerenciais de Efetividade,Atividades Lúdicas/Recreativas/Culturais,2.0,2025-11-01
2025,gerencial,DEZ,12,Dados Gerenciais de Efetividade,Atividades Lúdicas/Recreativas/Culturais,,2025-12-01
2025,gerencial,JAN,1,Dados Gerenciais de Efetividade,Capacitações Coordenações,0.0,2025-01-01
2025,gerencial,FEV,2,Dados Gerenciais de Efetividade,Capacitações Coordenações,0.0,2025-02-01
2025,gerencial,MAR,3,Dados Gerenciais de Efetividade,Capacitações Coordenações,1.0,2025-03-01
2025,gerencial,ABR,4,Dados Gerenciais de Efetividade,Capacitações Coordenações,0.0,2025-04-01
2025,gerencial,MAI,5,Dados Gerenciais de Efetividade,Capacitações Coordenações,0.0,2025-05-01
2025,gerencial,JUN,6,Dados Gerenciais de Efetividade,Capacitações Coordenações,0.0,2025-06-01
2025,gerencial,JUL,7,Dados Gerenciais de Efetividade,Capacitações Coordenações,1.0,2025-07-01
2025,gerencial,AGO,8,Dados Gerenciais de Efetividade,Capacitações Coordenações,0.0,2025-08-01
2025,gerencial,SET,9,Dados Gerenciais de Efetividade,Capacitações Coordenações,0.0,2025-09-01
2025,gerencial,OUT,10,Dados Gerenciais de Efetividade,Capacitações Coordenações,0.0,2025-10-01
2025,gerencial,NOV,11,Dados Gerenciais de Efetividade,Capacitações Coordenações,0.0,2025-11-01
2025,gerencial,DEZ,12,Dados Gerenciais de Efetividade,Capacitações Coordenações,,2025-12-01
2025,gerencial,JAN,1,Dados Gerenciais de Efetividade,Capacitações Equipes,0.0,2025-01-01
2025,gerencial,FEV,2,Dados Gerenciais de Efetividade,Capacitações Equipes,0.0,2025-02-01
2025,gerencial,MAR,3,Dados Gerenciais de Efetividade,Capacitações Equipes,0.0,2025-03-01
2025,gerencial,ABR,4,Dados Gerenciais de Efetividade,Capacitações Equipes,0.0,2025-04-01
2025,gerencial,MAI,5,Dados Gerenciais de Efetividade,Capacitações Equipes,1.0,2025-05-01
2025,gerencial,JUN,6,Dados Gerenciais de Efetividade,Capacitações Equipes,1.0,2025-06-01
2025,gerencial,JUL,7,Dados Gerenciais de Efetividade,Capacitações Equipes,2.0,2025-07-01
2025,gerencial,AGO,8,Dados Gerenciais de Efetividade,Capacitações Equipes,0.0,2025-08-01
2025,gerencial,SET,9,Dados Gerenciais de Efetividade,Capacitações Equipes,0.0,2025-09-01
2025,gerencial,OUT,10,Dados Gerenciais de Efetividade,Capacitações Equipes,0.0,2025-10-01
2025,gerencial,NOV,11,Dados Gerenciais de Efetividade,Capacitações Equipes,1.0,2025-11-01
2025,gerencial,DEZ,12,Dados Gerenciais de Efetividade,Capacitações Equipes,,2025-12-01
2025,gerencial,JAN,1,Dados Gerenciais de Efetividade,Crianças E Adolescentes Em Ensino Regular Matriculados,12.0,2025-01-01
2025,gerencial,FEV,2,Dados Gerenciais de Efetividade,Crianças E Adolescentes Em Ensino Regular Matriculados,16.0,2025-02-01
2025,gerencial,MAR,3,Dados Gerenciais de Efetividade,Crianças E Adolescentes Em Ensino Regular Matriculados,19.0,2025-03-01
2025,gerencial,ABR,4,Dados Gerenciais de Efetividade,Crianças E Adolescentes Em Ensino Regular Matriculados,19.0,2025-04-01
2025,gerencial,MAI,5,Dados Gerenciais de Efetividade,Crianças E Adolescentes Em Ensino Regular Matriculados,18.0,2025-05-01
2025,gerencial,JUN,6,Dados Gerenciais de Efetividade,Crianças E Adolescentes Em Ensino Regular Matriculados,18.0,2025-06-01
2025,gerencial,JUL,7,Dados Gerenciais de Efetividade,Crianças E Adolescentes Em Ensino Regular Matriculados,15.0,2025-07-01
2025,gerencial,AGO,8,Dados Gerenciais de Efetividade,Crianças E Adolescentes Em Ensino Regular Matriculados,17.0,2025-08-01
2025,gerencial,SET,9,Dados Gerenciais de Efetividade,Crianças E Adolescentes Em Ensino Regular Matriculados,15.0,2025-09-01
2025,gerencial,OUT,10,Dados Gerenciais de Efetividade,Crianças E Adolescentes Em Ensino Regular Matriculados,17.0,2025-10-01
2025,gerencial,NOV,11,Dados Gerenciais de Efetividade,Crianças E Adolescentes Em Ensino Regular Matriculados,18.0,2025-11-01
2025,gerencial,DEZ,12,Dados Gerenciais de Efetividade,Crianças E Adolescentes Em Ensino Regular Matriculados,,2025-12-01
2025,gerencial,JAN,1,Dados Gerenciais de Efetividade,Crianças E Adolescentes/Desligamentos,1.0,2025-01-01
2025,gerencial,FEV,2,Dados Gerenciais de Efetividade,Crianças E Adolescentes/Desligamentos,0.0,2025-02-01
2025,gerencial,MAR,3,Dados Gerenciais de Efetividade,Crianças E Adolescentes/Desligamentos,0.0,2025-03-01
2025,gerencial,ABR,4,Dados Gerenciais de Efetividade,Crianças E Adolescentes/Desligamentos,1.0,2025-04-01
2025,gerencial,MAI,5,Dados Gerenciais de Efetividade,Crianças E Adolescentes/Desligamentos,0.0,2025-05-01
2025,gerencial,JUN,6,Dados Gerenciais de Efetividade,Crianças E Adolescentes/Desligamentos,3.0,2025-06-01
2025,gerencial,JUL,7,Dados Gerenciais de Efetividade,Crianças E Adolescentes/Desligamentos,3.0,2025-07-01
2025,gerencial,AGO,8,Dados Gerenciais de Efetividade,Crianças E Adolescentes/Desligamentos,1.0,2025-08-01
2025,gerencial,SET,9,Dados Gerenciais de Efetividade,Crianças E Adolescentes/Desligamentos,4.0,2025-09-01
2025,gerencial,OUT,10,Dados Gerenciais de Efetividade,Crianças E Adolescentes/Desligamentos,2.0,2025-10-01
2025,gerencial,NOV,11,Dados Gerenciais de Efetividade,Crianças E Adolescentes/Desligamentos,0.0,2025-11-01
2025,gerencial,DEZ,12,Dados Gerenciais de Efetividade,Crianças E Adolescentes/Desligamentos,,2025-12-01
2025,gerencial,JAN,1,Dados Gerenciais de Efetividade,Crianças E Adolescentes/Evasões,0.0,2025-01-01
2025,gerencial,FEV,2,Dados Gerenciais de Efetividade,Crianças E Adolescentes/Evasões,0.0,2025-02-01
2025,gerencial,MAR,3,Dados Gerenciais de Efetividade,Crianças E Adolescentes/Evasões,2.0,2025-03-01
2025,gerencial,ABR,4,Dados Gerenciais de Efetividade,Crianças E Adolescentes/Evasões,0.0,2025-04-01
2025,gerencial,MAI,5,Dados Gerenciais de Efetividade,Crianças E Adolescentes/Evasões,2.0,2025-05-01
2025,gerencial,JUN,6,Dados Gerenciais de Efetividade,Crianças E Adolescentes/Evasões,0.0,2025-06-01
2025,gerencial,JUL,7,Dados Gerenciais de Efetividade,Crianças E Adolescentes/Evasões,1.0,2025-07-01
2025,gerencial,AGO,8,Dados Gerenciais de Efetividade,Crianças E Adolescentes/Evasões,0.0,2025-08-01
2025,gerencial,SET,9,Dados Gerenciais de Efetividade,Crianças E Adolescentes/Evasões,1.0,2025-09-01
2025,gerencial,OUT,10,Dados Gerenciais de Efetividade,Crianças E Adolescentes/Evasões,4.0,2025-10-01
2025,gerencial,NOV,11,Dados Gerenciais de Efetividade,Crianças E Adolescentes/Evasões,3.0,2025-11-01
2025,gerencial,DEZ,12,Dados Gerenciais de Efetividade,Crianças E Adolescentes/Evasões,,2025-12-01
2025,gerencial,JAN,1,Dados Gerenciais de Efetividade,Número De Crianças E Adolescentes Atendidos,17.0,2025-01-01
2025,gerencial,FEV,2,Dados Gerenciais de Efetividade,Número De Crianças E Adolescentes Atendidos,16.0,2025-02-01
2025,gerencial,MAR,3,Dados Gerenciais de Efetividade,Número De Crianças E Adolescentes Atendidos,19.0,2025-03-01
2025,gerencial,ABR,4,Dados Gerenciais de Efetividade,Número De Crianças E Adolescentes Atendidos,19.0,2025-04-01
2025,gerencial,MAI,5,Dados Gerenciais de Efetividade,Número De Crianças E Adolescentes Atendidos,18.0,2025-05-01
2025,gerencial,JUN,6,Dados Gerenciais de Efetividade,Número De Crianças E Adolescentes Atendidos,18.0,2025-06-01
2025,gerencial,JUL,7,Dados Gerenciais de Efetividade,Número De Crianças E Adolescentes Atendidos,16.0,2025-07-01
2025,gerencial,AGO,8,Dados Gerenciais de Efetividade,Número De Crianças E Adolescentes Atendidos,18.0,2025-08-01
2025,gerencial,SET,9,Dados Gerenciais de Efetividade,Número De Crianças E Adolescentes Atendidos,16.0,2025-09-01
2025,gerencial,OUT,10,Dados Gerenciais de Efetividade,Número De Crianças E Adolescentes Atendidos,17.0,2025-10-01
2025,gerencial,NOV,11,Dados Gerenciais de Efetividade,Número De Crianças E Adolescentes Atendidos,18.0,2025-11-01
2025,gerencial,DEZ,12,Dados Gerenciais de Efetividade,Número De Crianças E Adolescentes Atendidos,,2025-12-01
2025,gerencial,JAN,1,Dados Gerenciais de Efetividade,PIAS / Relatórios,2.0,2025-01-01
2025,gerencial,FEV,2,Dados Gerenciais de Efetividade,PIAS / Relatórios,15.0,2025-02-01
2025,gerencial,MAR,3,Dados Gerenciais de Efetividade,PIAS / Relatórios,3.0,2025-03-01
2025,gerencial,ABR,4,Dados Gerenciais de Efetividade,PIAS / Relatórios,2.0,2025-04-01
2025,gerencial,MAI,5,Dados Gerenciais de Efetividade,PIAS / Relatórios,2.0,2025-05-01
2025,gerencial,JUN,6,Dados Gerenciais de Efetividade,PIAS / Relatórios,5.0,2025-06-01
2025,gerencial,JUL,7,Dados Gerenciais de Efetividade,PIAS / Relatórios,16.0,2025-07-01
2025,gerencial,AGO,8,Dados Gerenciais de Efetividade,PIAS / Relatórios,3.0,2025-08-01
2025,gerencial,SET,9,Dados Gerenciais de Efetividade,PIAS / Relatórios,10.0,2025-09-01
2025,gerencial,OUT,10,Dados Gerenciais de Efetividade,PIAS / Relatórios,16.0,2025-10-01
2025,gerencial,NOV,11,Dados Gerenciais de Efetividade,PIAS / Relatórios,1.0,2025-11-01
2025,gerencial,DEZ,12,Dados Gerenciais de Efetividade,PIAS / Relatórios,,2025-12-01
2025,gerencial,JAN,1,Dados Gerenciais de Efetividade,Reuniões De Equipe,1.0,2025-01-01
2025,gerencial,FEV,2,Dados Gerenciais de Efetividade,Reuniões De Equipe,1.0,2025-02-01
2025,gerencial,MAR,3,Dados Gerenciais de Efetividade,Reuniões De Equipe,4.0,2025-03-01
2025,gerencial,ABR,4,Dados Gerenciais de Efetividade,Reuniões De Equipe,5.0,2025-04-01
2025,gerencial,MAI,5,Dados Gerenciais de Efetividade,Reuniões De Equipe,4.0,2025-05-01
2025,gerencial,JUN,6,Dados Gerenciais de Efetividade,Reuniões De Equipe,4.0,2025-06-01
2025,gerencial,JUL,7,Dados Gerenciais de Efetividade,Reuniões De Equipe,3.0,2025-07-01
2025,gerencial,AGO,8,Dados Gerenciais de Efetividade,Reuniões De Equipe,4.0,2025-08-01
2025,gerencial,SET,9,Dados Gerenciais de Efetividade,Reuniões De Equipe,5.0,2025-09-01
2025,gerencial,OUT,10,Dados Gerenciais de Efetividade,Reuniões De Equipe,4.0,2025-10-01
2025,gerencial,NOV,11,Dados Gerenciais de Efetividade,Reuniões De Equipe,3.0,2025-11-01
2025,gerencial,DEZ,12,Dados Gerenciais de Efetividade,Reuniões De Equipe,,2025-12-01
2025,gerencial,JAN,1,Dados Gerenciais de Efetividade,Visitas Domiciliares,2.0,2025-01-01
2025,gerencial,FEV,2,Dados Gerenciais de Efetividade,Visitas Domiciliares,1.0,2025-02-01
2025,gerencial,MAR,3,Dados Gerenciais de Efetividade,Visitas Domiciliares,3.0,2025-03-01
2025,gerencial,ABR,4,Dados Gerenciais de Efetividade,Visitas Domiciliares,1.0,2025-04-01
2025,gerencial,MAI,5,Dados Gerenciais de Efetividade,Visitas Domiciliares,0.0,2025-05-01
2025,gerencial,JUN,6,Dados Gerenciais de Efetividade,Visitas Domiciliares,1.0,2025-06-01
2025,gerencial,JUL,7,Dados Gerenciais de Efetividade,Visitas Domiciliares,0.0,2025-07-01
2025,gerencial,AGO,8,Dados Gerenciais de Efetividade,Visitas Domiciliares,1.0,2025-08-01
2025,gerencial,SET,9,Dados Gerenciais de Efetividade,Visitas Domiciliares,1.0,2025-09-01
2025,gerencial,OUT,10,Dados Gerenciais de Efetividade,Visitas Domiciliares,2.0,2025-10-01
2025,gerencial,NOV,11,Dados Gerenciais de Efetividade,Visitas Domiciliares,2.0,2025-11-01
2025,gerencial,DEZ,12,Dados Gerenciais de Efetividade,Visitas Domiciliares,,2025-12-01
